z_minScore,z_maxScore,z_cluster,row_id,title_unfiltered,title_filtered,binder,wrapper,filler,size,country,length_fraction,length_float,ring_gauge,strength,rating,extract_vitola,extract_seed,extract_color,extract_region,extract_brand,extract_line,extract_size
0.41236302337331165,0.9999981254576294,289,289,arturo fuente double chateau fuente sun grown,arturo fuente  chateau fuente sun grown,dominican republic,ecuadorian,dominican republic,churchill,dominican republic,6 3/4,6.75,50,medium-full,87,"",sun grown,"","",arturo fuente,double chateau fuente,sun grown
0.9999993978816649,0.9999993978816649,297,297,oliva serie g maduro presidente,oliva  g maduro presidente,indonesian,mexico,nicaraguan,double corona,nicaraguan,8,8,52,medium-full,90,"","",maduro,"",oliva,serie g maduro,presidente
0.9999981254576294,0.9999981254576294,299,299,padron damaso no. 17,padron damaso no. 17,nicaraguan,ecuadorian,nicaraguan,churchill,nicaraguan,7,7,54,mild-medium,89,"","","","",padron,damaso no.,17
0.9999981254576294,0.9999981254576294,306,306,cle 25th anniversary 50x5,cle 25th anniversary 50x5,honduran,honduran,honduran,robusto,honduran,5,5,50,medium,91,"","","","",cle,25th anniversary,50x5
"","",310,310,cle 25th anniversary 11/18,cle 25th anniversary 11/18,honduran,honduran,honduran,figurado,honduran,6,6,54,medium-full,86,"","","","",cle,25th anniversary,Nov-18
0.9999981254576294,0.9999981254576294,306,311,cle 25th anniversary 50x5,cle 25th anniversary 50x5,honduran,honduran,honduran,robusto,honduran,5,5,50,medium,91,"","","","",cle,25th anniversary,50x5
"","",313,313,saga solaz robusto,saga solaz,dominican republic,ecuadorian,dominican republic,robusto,dominican republic,5,5,50,medium,89,"","","","",saga,solaz,robusto
"","",314,314,saga solaz gordo,saga solaz,dominican republic,ecuadorian,dominican republic,toro,dominican republic,6,6,58,mild-medium,89,"","","","",saga,solaz,gordo
0.9993995721262092,0.9999981254576294,61,318,la palina silver label toro,la palina silver label,costa rica,honduran,"costa rica, honduran, nicaraguan",toro,honduran,6 1/2,6.5,52,medium,90,"","","","",la palina,silver label,toro
0.9807275099566922,0.9999981254576294,320,320,cohiba siglo ii,cohiba siglo ii,cuba,cuba,cuba,petit corona,cuba,5 1/8,5.13,42,medium,92,"","","","",cohiba,siglo,ii
"","",322,322,charter oak habano grande,charter oak habano,nicaraguan,ecuadorian,nicaraguan,grande,nicaraguan,6,6,60,medium,88,"",habano,"","","","",""
0.9999981254576294,0.9999981254576294,329,329,macanudo inspirado green churchill,macanudo inspirado green,indonesian,brazilian,"colombia, dominican republic",churchill,dominican republic,7,7,48,medium-full,87,"","","","",macanudo,inspirado green,churchill
0.9999981254576294,0.9999981254576294,331,331,perla del mar corojo robusto,perla del mar corojo,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,4 3/4,4.75,52,medium-full,90,"",corojo,"","",perla del mar,corojo,robusto
0.999798394078472,0.9999981254576294,119,332,fratello arlequin toro,fratello arlequin,ecuadorian,mexico,"nicaraguan, peru",toro,nicaraguan,6 1/4,6.25,54,medium,88,"","","","",fratello,arlequin,toro
"","",336,336,stallone alazan corojo toro,stallone alazan corojo,ecuadorian,brazilian,nicaraguan,toro,nicaraguan,5 1/2,5.5,56,medium,89,"",corojo,"","","","",""
"","",337,337,perla del mar corojo double toro,perla del mar corojo,nicaraguan,ecuadorian,nicaraguan,grande,nicaraguan,6,6,60,medium,87,"",corojo,"","",perla del mar,corojo,double toro
0.9999981254576294,0.9999981254576294,273,344,vegafina 1998 vf 54,vegafina 1998 vf 54,indonesian,ecuadorian,"colombia, dominican republic, nicaraguan",toro,dominican republic,6 1/8,6.13,54,medium,90,"","","","",vegafina,1998 vf,54
"","",345,345,vegafina 1998 vf 50,vegafina 1998 vf 50,indonesian,ecuadorian,"colombia, dominican republic, nicaraguan",robusto,dominican republic,4 1/2,4.5,50,medium-full,88,"","","","",vegafina,1998 vf,50
0.9999981254576294,0.9999981254576294,346,346,vegafina 1998 vf 52,vegafina 1998 vf 52,indonesian,ecuadorian,"colombia, dominican republic, nicaraguan",robusto,dominican republic,5,5,52,medium-full,92,"","","","",vegafina,1998 vf,52
"","",351,351,alec & bradley blind faith robusto,alec & bradley blind faith,"honduran, nicaraguan",honduran,nicaraguan,robusto,honduran,5,5,52,full,90,"","","","","","",""
0.645300139397642,0.9914151473343009,354,354,aging room quattro maduro maestro,aging room quattro maduro maestro,dominican republic,mexico,dominican republic,figurado,dominican republic,6,6,52,medium-full,90,"","",maduro,"",aging room,quattro maduro,maestro
0.9999981254576294,0.9999981254576294,361,361,jfr lunatic torch dreamlands,jfr lunatic torch dreamlands,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,6 1/2,6.5,60,medium,90,"","","","",jfr,lunatic torch,dreamlands
0.9999981254576294,0.9999981254576294,363,363,trinidad coloniales,trinidad coloniales,cuba,cuba,cuba,corona,cuba,5 1/4,5.25,44,medium,90,"","","","",trinidad,"",""
"","",367,367,cain f 550,cain f 550,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,5,5,50,medium-full,89,"","","","",cain,f,550
0.9999975551643551,0.9999975551643551,370,370,quesada seleccion espana corona,quesada seleccion espana,dominican republic,ecuadorian,"dominican republic, nicaraguan",corona,dominican republic,5 1/2,5.5,42,medium,91,"","","","",quesada,seleccion espana,corona
0.9999981254576294,0.9999981254576294,371,371,montecristo no. 2,montecristo no. 2,cuba,cuba,cuba,figurado,cuba,6 1/8,6.13,52,medium,93,"","","","",montecristo,no.,2
