IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Cheyenne,SLAUGHTERHOUSE,,,,,,Tatiana La Vita,Partagas Anejo Limited Edition,My Father,La Palina Red Label,Partagas Cortado
SB (Stogie Boys),Slaughterhouse Bundles,,,,,,Tatiana Mini Tins,Partagas Black Label,My Father Cigars,La Palina Silver Label,Partagas Heritage
La Favorita (Felipe Gregorio),Small Batch,,,,,,Tatiana Robusto,Partagas Heritage,My Father Connecticut,La Palina White Label,Partagas Legend
Redlands,Smoker's Choice Filtered,,,,,,Tatiana Trios Petite,Partagas Legend,My Father Flor de Las Antillas,La Rosa De Sandiego,Partagas Limited Reserve Decadas
Big Butt,Smoking Jacket,,,,,,Tatuaje 10th Anniversary,Partagas Limited Reserve Decadas,My Father La Antiguedad,La Rosa De Sandiego Connecticut,PDR
Ancla y Cazador,Sombrero de Copa,,,,,,Tatuaje Avion,Partagas Ramon Y Ramon,My Father La Gran Oferta,La Rosa De Sandiego Habano,PDR 1878 Dark Roast Cafe
Casa De Puros,SOSA,,,,,,Tatuaje Black Label,Patina Connecticut,My Father La Opulencia,La Vieja Habana,PDR 1878 Medium Roast Cafe
Aliados,Sosa,,,,,,Tatuaje Broadleaf,Patina Habano,My Father La Promesa,La Vieja Habana Brazilian Maduro,PDR 1878 Natural Roast Cafe
Dark Shark,SOUTH BEACH FLAVORS BY NINO VASQUEZ,,,,,,Tatuaje Cigars,Patina Maduro,My Father Le Bijou 1922,La Vieja Habana Connecticut Shade,PDR 1878 Santiago Maduro
Aganorsa Leaf (formerly Casa Fernandez),SOUTHERN DRAW,,,,,,Tatuaje Cohetes,Patriot,My Father The Judge,La Vieja Habana Cuban Corojo,PDR 1878 Santiago Natural
La Gloria Cubana (Cuban),Southern Draw,,,,,,Tatuaje Cojonu,Paul Garmirian 15th Anniversary,My Father Vegas Cubanas,Laranja,PDR 1878 Santiago Oscuro
Manolo Estate (Master Blends Cigar Co),Southern Draw,,,,,,Tatuaje Fausto,Paul Garmirian 20th Anniversary L.E.,Nat Sherman Cigars,Laranja Reserva,PDR 1878 Santiago Sun Grown
Pride of Panama,Southern Draw,,,,,,Tatuaje Havana VI,Paul Garmirian 25th Anniversary,Nat Sherman Epoca,Laranja Reserva Azulejo,PDR A Flores Gran Reserva Corojo
Petrus,Southern Draw,,,,,,Tatuaje Havana VI Verocu,Paul Garmirian Gourmet Series,Nat Sherman Epoca Reserva,Laranja Reserva Escuro,PDR A Flores Gran Reserva Desflorado
Anacaona,Southern Draw,,,,,,Tatuaje La Riqueza,Paul Garmirian Reserva Exclusiva,Nat Sherman Metropolitan Maduro,Lars Tetens,PDR A Flores Gran Reserva Maduro
Thunder by Nimish,Special Jamaica Reserve,,,,,,Tatuaje M.E. II Limited Edition,PDR 1878 Cafe Flavor,Nestor Miranda Special Selection,Lars Tetens Grass,PDR A Flores Gran Reserva Sun Grown
Grunt Rolls,Special Jamaicans,,,,,,Tatuaje M.E. Limited Edition,PDR 1878 Capa Madura (Black),Nestor Reserve Maduro,Lars Tetens Phat,PDR El Criollito
House of Cigars,Stallone Cigar Company,,,,,,Tatuaje Miami,PDR 1878 Capa Oscura (Red),New Cuba,Lars Tetens Sutton Place,PDR El Trovador
Cacique,Stolen Throne,,,,,,Tatuaje Monsters,PDR 1878 Capa Sun Grown (Blue),New Cuba Connecticut,Las Cabrillas,PDR Flores y Rodriguez 10th Anniversary
Par,Swisher,,,,,,Tatuaje Negociant Monopole,PDR A Flores Gran Reserva Corojo 2006,New Cuba Fuerte,Las Cabrillas,Perdomo
San Pedro De Macoris,Swisher Sweets,,,,,,Tatuaje Nuevitas,PDR A Florez Serie Privada,New Cuba Maduro,Las Calaveras,Perdomo 20th Anniversary Connecticut
Mayorga,Swisher Sweets,,,,,,Tatuaje Reserva,PDR A. Flores Gran Reserva Sun Grown,Nica Libre,Las Calaveras Edicion Limitada 2017,Perdomo 20th Anniversary Maduro
Calle 8 Ocho,Tabacalera Palma,,,,,,Tatuaje Serie P,PDR AR Bullet With a Name,Nica Libre Cigars,Las Calaveras Edicion Limitada 2018,Perdomo 20th Anniversary Sun Grown
Lone Wolf,Tabacalera Palma Ready To Smoke Bundles,,,,,,Tatuaje Skinny Monsters,PDR El Criollito,Nica Libre Potencia,Las Calaveras Edicion Limitada 2019,Perdomo Accessories and Samplers
Fernando Leon (by La Aurora),Tabacos Baez,,,,,,Tatuaje T110 Limited Edition,PDR El Trovador,Nica Libre Silver 25th Anniversary,Las Calaveras Edicion Limitada 2020,Perdomo Champagne
Willy Cigars,Tabacos Baez Serie S.F.,,,,,,Tatuaje Tattoo,PDR Flores Y Rodriguez Cabinet Seleccion,Nica Libre Sun Grown,Las Calaveras Edicion Limitada 2021,Perdomo Cuban Parejo
El Trofeo Habano,TABAK ESPECIAL,,,,,,Te-Amo,PDR FYR Connecticut Valley Reserve,Nica Libre x AGANORSA,L'Atelier,Perdomo Double Aged
Havana House,Tabak Especial,,,,,,Te-Amo Cigars,Perdomo,Nica Rustica Broadleaf,L'Atelier Extension de la Racine,Perdomo Double Aged Connecticut
Ejecutivos,Tabaquero by Hamlet Paredes,,,,,,Temple Hall,Perdomo 10th Anniversary Champagne,Nicaragua Cream,L'Atelier Selection Speciale,Perdomo Estate Seleccion Vintage Sun Grown
Soledad,TABERNACLE,,,,,,The Bourbon Cigars,Perdomo 10th Anniversary Maduro,Nub Cigars,La Mission by L'atelier,Perdomo Fresco
Deseo Sombrio,TAINO,,,,,,The Griffin's,Perdomo 10th Anniversary Sungrown,Nub Cain FF by Oliva,Leon Jimenes,Perdomo Fresco Sun Grown
Dr. Funk,TAMBOR DOMINICANO,,,,,,The Griffin's Cigars,Perdomo 20th Anniversary Connecticut,Nub Cameroon by Oliva,Leon Jimenes,Perdomo Habano
Hommage 1492,TAMPA TROLLEYS,,,,,,The King Is Dead by Robert Caldwell,Perdomo 20th Anniversary Maduro,Nub Connecticut by Oliva,Liga Privada,Perdomo Habano Connecticut
FG 2009,Tampa Trolleys,,,,,,The King Is Dead Escape Plan,Perdomo 20th Anniversary Sungrown,Nub Double Maduro by Oliva,Liga Privada Aniversario,Perdomo Inmenso Seventy Maduro
D'Fernandino,Tatascan,,,,,,The Oscar Habano,Perdomo Double Aged 12 Year Vintage,Nub Habano by Oliva,Liga Privada H99,Perdomo Inmenso Seventy Sun Grown
Toasty Jones,Tatiana,,,,,,The Oscar Maduro,Perdomo Estate Seleccion Vintage Connecticut,Nub Habano Sun Grown Double Perfecto,Liga Privada No. 9,Perdomo Limited Cameroon Edition
Indian Motorcycle Ultra Premium Cigars,Tatiana,,,,,,The Rake by MoyaRuiz,Perdomo Estate Seleccion Vintage Maduro,Nub Maduro by Oliva,Liga Privada T52,Perdomo Lot 23
Empress of Cuba,Tatiana,,,,,,Thirty Eight Special Filtered Cigars,Perdomo Estate Seleccion Vintage Sungrown,Nub Nuance by Oliva,Liga Privada Unicos,Perdomo Reserve 10th Anniversary Maduro
Astral,TATIANA FLAVORED,,,,,,Tiparillo,Perdomo Fresco Bundles,Nub Sumatra by Oliva,Liga Undercrown,Perdomo Reserve 10th Anniversary Sun Grown
El Diamante,TATUAJE,,,,,,Todos Las Dias,Perdomo Habano Bourbon Barrel Aged Connecticut,Obsidian,Liga Undercrown 10,Perla Del Mar Corojo
Alamo (Finck),Tatuaje,,,,,,Topper Handmade,Perdomo Habano Bourbon Barrel Aged Maduro,Obsidian Redrum,Liga Undercrown Connecticut Shade,Perla del Mar Maduro
Purisco,Tatuaje,,,,,,Toscanello Shorts,Perdomo Habano Bourbon Barrel Aged Sungrown,Obsidian White Noise,Liga Undercrown Maduro,Perla Del Mar Shade
Carbon Copy,Tatuaje,,,,,,Toscano,Perdomo Inmenso Maduro,Odyssey Coffee,Liga Undercrown Maduro Dojo Dogma,Petri
Chamuco,Tatuaje,,,,,,Toscano Cigars,Perdomo Inmenso Sungrown,Odyssey Connecticut,Liga Undercrown Shady,Phillies
Nikki,Tatuaje,,,,,,TTT Trinidad Paradox,Perdomo Limited Cameroon Edition,Odyssey Full,Liga Undercrown Sun Grown,Pichardo Clasico
Don Elio's,TE AMO,,,,,,Umbagog,Perdomo Lot 23 Connecticut,Odyssey Habano,Liga Undercrown Sun Grown Dojo Dogma,Pichardo Reserva Familiar
Vegueros,Te Amo,,,,,,Uncharted,Perdomo Lot 23 Maduro,Odyssey Maduro,Litto Gomez,Pinar Del Rio Accessories And Samplers
Florida Queen,Te-Amo,,,,,,Undercrown,Perdomo Lot 23 Sun Grown,Odyssey Sweet Tip,Litto Gomez Diez,Plasencia
Royal Estates,TEDS MADE BY HAND,,,,,,Undercrown 10,Perdomo Mini Cigarillos,Ole Shenandoah Cheroots,Los Caidos,Plasencia Alma Del Campo
Felungo,Temple Hall,,,,,,Undercrown Shade,Perdomo Nick's Sticks,Oliva 2nds,Los Caidos,Plasencia Alma Del Fuego
Angelenos,The American,,,,,,Undercrown Sungrown,Perdomo Small Batch Series Connecticut,Oliva Cigars,Lost&Found,Plasencia Alma Fuerte
Oro de Esteli,The Bourbon,,,,,,Untitled Project From Room 101 & Cigar Dojo,Perdomo Small Batch Series Maduro,Oliva Connecticut Reserve,Caldwell Lost and Found Pepper Cream Soda,Plasencia Alma Fuerte Natural
Cedros,The Circus,,,,,,Valencia Cigars,Perdomo Small Batch Series Sun Grown,Oliva Flor de Oliva,Luciano,Plasencia Cosecha 146
Island Delights,The Griffin's,,,,,,Valencia Connecticut,Perla Del Mar Corojo,Oliva Master Blends III,Fiat Lux by Luciano,Plasencia Cosecha 149
Domenico,The Griffin's,,,,,,Valencia Sun Grown,Perla Del Mar Maduro,Oliva Melanio CI 20th Anniversary,Luciano,Plasencia Reserva Original
Paradise Island,THE HIVE,,,,,,Vallejuelo Classic,Perla Del Mar Shade,Oliva Protege Connecticut,M1,Pledge By EP Carrillo
Quorum,The Repeater,,,,,,Vega Magna,Pigtail Factory Leftovers,Oliva Protege Habano,M1,Pospiech Cigars
J. Cortes,THE UPSETTERS,,,,,,VegaFina,Pinar Del Rio Classico Exclusivo,Oliva Saison,Macanudo,Powstanie
Honey Honey,Tiparillo,,,,,,VegaFina 1998,Pinar Del Rio Small Batch Reserve Cubra,Oliva Saison Maduro,M Bourbon by Macanudo,Primo de Cuba by EPC
El Fidel,TOPPER,,,,,,VegaFina Cigars,Plasencia Alma Del Campo,Oliva Serie G,M by Macanudo,Principe Chicos
Di Fazio,Topper,,,,,,VegaFina Nicaragua,Plasencia Alma Del Fuego,Oliva Serie G Maduro,M by Macanudo Espresso,Principes
Atsiniki,Topper Handmade,,,,,,Viaje,Plasencia Alma Fuerte,Oliva Serie O,Macanudo 1968,Private Selection Nicaragua
Militia,Torano,,,,,,Viaje 10 Plus 2 and a Half Anniversary,Plasencia Cosecha 146,Oliva Serie O Maduro,Macanudo Cafe,Private Stock
Durango,Torano,,,,,,Viaje Wilshire and La Jolla,Plasencia Cosecha 149,Oliva Serie V,Macanudo Cru Royale,Project 40 Maduro By Alec Bradley
Don Cesar,TORO DE ORO,,,,,,Villiger 125,Plasencia Reserva Original,Oliva Serie V 135th Anniversary Edicion Limitada,Macanudo Gold Label,Protocol
Zengotita,TOSCANO,,,,,,Villiger Braniff,Plasencia Small Batch Corojo,Oliva Serie V Maduro,Macanudo Heritage Nuevo,Protocol Blue
Matilde,Toscano,,,,,,Villiger Cigars,Plasencia Year of the Tiger,Oliva Serie V Melanio,Macanudo Heritage Reserve,Protocol Cyber Crimes
Central Cigars,Toscano,,,,,,Villiger Cuellar Connecticut Kreme,Powstanie Broadleaf,Oliva Serie V Melanio Maduro,Macanudo Inspirado Black,Protocol Eliot Ness
Coticas,Toscano,,,,,,Villiger Export,Powstanie Habano,Oliva Serie V Nub,Macanudo Inspirado Brazilian Shade,Protocol Gold Themis
ENKI,Toscano,,,,,,Villiger Handmade Cigars,Powstanie Limited Edition,Omar Ortez Maduro,Macanudo Inspirado Green,Protocol Official Misconduct
Santa Julia,Trader Jack's,,,,,,Villiger Kiel,Primitivo Habano,Omar Ortez Originals,Macanudo Inspirado Orange,Protocol Red Probable Cause
The Smokin` Cigar Inc.,Trader Jack's Kickin',,,,,,Villiger La Capitana,Prometheus,Onyx Bold Nicaragua,Macanudo Inspirado Palladium,Protocol Sir Robert Peel
Regius,Trinidad,,,,,,Villiger La Flor de Ynclan,Protocol Blue,Original Cubans,Macanudo Inspirado Red,Punch
Jake Wyatt Cigar CO.,Trinidad,,,,,,Villiger La Vencedora,Protocol Official Misconduct Silver,Oro Cubano Aniversario,Macanudo Inspirado White,Punch
Vegas Robaina,Trinidad,,,,,,Villiger Original,Protocol Probable Cause Red,Ortega Cubao,Macanudo Maduro,Punch Deluxe
BH Puros,Trinidad Espiritu,,,,,,Villiger Selecto Connecticut,Protocol Themis Gold,Padilla Cigars,Macanudo Maduro Vintage 1997,Punch Diablo
Cigars of Habanos,Trinidad y Cia,,,,,,Virginia Heritage,Punch,Padilla Artemis,Macanudo Vintage 2006,Punch Gran Puro
Don Pablo,TTT Trinidad Paradox,,,,,,W & D Honduran Bundles,Punch Aniversario,Padilla Cazadores,Macanudo Vintage 2010,Punch Gran Puro Nicaragua
Don Rafael,Tuscarora,,,,,,Warped Chinchalle,Punch Diablo by AJ Fernandez,Padilla Dominus,Matilde,Punch Grand Cru
Smoking Jacket Cigars (by Hendrik Kelner Jr.),Uncharted,,,,,,Warped Cigars,Punch Fu Manchu,Padilla Finest Hour - Connecticut,Matilde Limited Exposure,Punch Knuckle Buster
Las Vegas Cigar Co.,Undercrown,,,,,,Warped Companion,Punch Gran Puro,Padilla Finest Hour - Sungrown,Matilde Oscura,Punch Limited Edition
Rocco Gaetano d'Angelo,United Cigar,,,,,,Warped Corto,Punch Gran Puro Nicaragua,Padilla Fumas Connecticut,Matilde Quadrata,Punch Rare Corojo
Fedelis,Untitled Project From Room 101 & Cigar Dojo,,,,,,Warped Don Reynaldo,Punch Rare Corojo,Padilla Fumas Habano,Matilde Renacer,Punch Signature
La Garita,Valencia,,,,,,Warped Futuro,Punch Signature,Padilla Fumas Maduro,Matilde Serena,Punch Sucker Punch
Ramon Allones (Cuban),VALLEJUELO,,,,,,Warped La Colmena,Quality Imports,Padilla Hybrid,MBombay,Quorum
Hoyo de Monterrey (Cuban),Vallejuelo Classic,,,,,,Warped La Hacienda,Quesada Reserva Privada,Padilla La Terraza Connecticut,MBombay Kesara,Quorum Classic
Chacaro Black Stallion,VEGA FINA,,,,,,Warped Maestro del Tiempo,Quorum,Padilla La Terraza Maduro,Micallef,Quorum Maduro
Southern Draw Cigars,Vega Fina,,,,,,Warped Nicotina,Quorum Havana Q,Padilla Series 1968,Micallef A,Quorum Shade
Pera,VegaFina,,,,,,Warped Serie Gran Reserva 1988,Quorum Maduro,Padilla Series 1968 Black Bear,Micallef Connecticut,Rafael Gonzalez
Redencion,VegaFina,,,,,,White Owl Cigars,Quorum Shade,Padilla Series 1968 Golden Bear,Micallef Experiencia,Ramon Allones AJ Fernandez
Rey de Zaba,VegaFina,,,,,,William Penn,Rabbit Air,Padilla Single Batch - Barrel Proof,Micallef Gomez Sanchez Leyenda,Ramrod
La Rosa de Sandiego,Ventura,,,,,,Winchester Little Cigars,Ramon Allones by AJ Fernandez,Padilla Single Batch - Select Reserve,Micallef Grande Bold Ligero,Remington Filter Cigars
Martinez,Viaje,,,,,,Witchdoktor,Regius Black Label,Padron 1926 Series 40th Anniversary,Micallef Grande Bold Maduro,Rigoletto
High Monk,Viaje,,,,,,Wynwood Hills,Regius Exclusivo USA Blue Oscuro Especial,Padron 1926 Series 80th Anniversary,Micallef Grande Bold Mata Fina,Rocky Patel
Torcedor,Victor Sinclair,,,,,,Zino Nicaragua,Regius Exclusivo USA Red,Padron 1926 Series Maduro,Micallef Grande Bold Nicaragua,Rocky Patel
Coral Reef,Villa Zamorano,,,,,,,Regius Reserva,Padron 1926 Series Natural,Micallef Grande Bold Sumatra,Rocky Patel 15th Anniversary
Sabana,VILLIGER,,,,,,,Regius Small Batch Series,Padron 1926 Series No. 90,Micallef Herencia,Rocky Patel 20th Anniversary
Miyares,Villiger,,,,,,,Regius The Rare Orchant Limited,Padron 1964 Anniversary Series Maduro,Micallef Herencia Maduro,Rocky Patel A.L.R. 2nd Edition
Perez,Villiger,,,,,,,Reinado Grand Apex,Padron 1964 Anniversary Series Natural,Micallef Migdalia,Rocky Patel American Market Selection
Nino Vasquez,Villiger,,,,,,,Rock-A-Feller Gold Series,Padron Cigars,Micallef Reata,Rocky Patel American Market Selection Fumas
Mythos Solitude,Villiger,,,,,,,Rock-A-Feller Habano White,Padron Damaso,Micallef Reserva Privada,Rocky Patel Cigar Smoking World Championship
Bonacquisti,Villiger,,,,,,,Rock-A-Feller Limited Editions,Padron Family Reserve,Micallef Torcedores,Rocky Patel Cuban Blend
Manuel Casals,Viva La Vida,,,,,,,Rock-A-Feller Maduro Red,Padron Maduro,Mombacho,Rocky Patel Cuban Blend Fumas
Bock y Ca,W & D Honduran Bundles,,,,,,,Rocky Patel,Padron Natural,Mombacho Casa Favilli,Rocky Patel Decade
Tio Pepe,WALL STREET,,,,,,,Rocky Patel 20th Anniversary,Palma Real,Mombacho Cosecha,Rocky Patel Factory Selects Edge Connecticut
Erte,Warfighter Tobacco,,,,,Title (Brand + Line),Title (Brand + Line),Rocky Patel A.L.R.,Palma Real Maduro,Mombacho Diplomatico,Rocky Patel Factory Selects Edge Corojo
Castaneda,WARPED,,,,,1875 by Romeo y Julieta,10 Años by Esteban Carreras,Rocky Patel A.L.R. 2nd Edition,Panter Small Cigars,Mombacho Liga Maestro,Rocky Patel Factory Selects Edge Habano
Equilibrium,Warped,,,,,3 X 3,1502 Black Gold,Rocky Patel Cigar Smoking World Championship,Panter Specialty Small Cigars,Mombacho Tierra Volcan,Rocky Patel Factory Selects Edge Maduro
Miro,Warped,,,,,300 Hands by Southern Draw,1502 Blue Sapphire,Rocky Patel Decade,Panther Cigarillos,Montecristo,Rocky Patel Grand Reserve
Montesino,Warped,,,,,5 VEGAS CLASSIC,1502 Cachitos,Rocky Patel Disciple,Parodi by Avanti,Monte by Montecristo,Rocky Patel Hamlet 2020
La Fama,Warped,,,,,5 Vegas Gold,1502 Cigars,Rocky Patel Edge,Partagas,Monte by Montecristo By AJ Fernandez,Rocky Patel Hamlet Tabaquero
Ramon Bueso,Warped,,,,,5 Vegas Series A,1502 Emerald,Rocky Patel Edge Candela,Partagas Cigars,Montecristo,Rocky Patel Honduran Classic
L'Atelier,WHIFF INDUSTRIES,,,,,601 Black,1502 Nicaragua,Rocky Patel Edge Connecticut,Partagas 1845 Clasico,Montecristo Artisan Series,Rocky Patel Juniors
Dignity,WHITE OWL,,,,,601 Blue,1502 Ruby,Rocky Patel Edge Nicaraguan Edition,Partagas 1845 Extra Fuerte,Montecristo Cincuenta,Rocky Patel LB1
Esplendido,White Owl,,,,,601 Green,1502 XO,Rocky Patel Edge Sumatra,Partagas 1845 Extra Oscuro,Montecristo Ciudad de Musica,Rocky Patel New Baby
Fidelis,Wildfire Cigar,,,,,601 La Bomba,1876 Key West Bundles,Rocky Patel Edicion Unica,Partagas Black Label,Montecristo Classic Collection,Rocky Patel Nicaraguan
Competere,William Penn,,,,,601 La Bomba,1876 Key West Bundles Maduro,Rocky Patel Fifty,Partagas Cifuentes,Montecristo Crafted by AJ Fernandez,Rocky Patel Number 6
Don Duarte,Winchester Little,,,,,601 Pennsylvania Edition,1876 Key West Bundles Select,Rocky Patel Fifty-Five,Partagas Cifuentes Maduro,Montecristo Epic,Rocky Patel Olde World Reserve Corojo
Carlscorona,Winston Churchill,,,,,601 Red,1876 Key West Cigars,Rocky Patel Grand Reserve,Partagas Decadas,Montecristo Epic Craft Cured,Rocky Patel Olde World Reserve Maduro
Litto Gomez Diez,Witchdoktor,,,,,7 20 4,2012 By Oscar Connecticut,Rocky Patel Hamlet 25th Year,Partagas Heritage,Montecristo Espada,Rocky Patel Private Cellar
Seleccion Privada (DR),WYNWOOD HILLS,,,,,99 Problems by Asylum,2012 By Oscar Corojo,Rocky Patel Hamlet Liberation,Partagas ICON,Montecristo Espada Estoque,Rocky Patel Prohibition
Imperior,Wynwood Hills,,,,,A Flores Gran Reserva Corojo 2006,2012 By Oscar Maduro,Rocky Patel Hamlet Tabaquero,Partagas Legend,Montecristo Espada Oscuro,Rocky Patel Quarter Century
Express Imports,Wynwood Hills,,,,,ACID,50 Shades of Joe Bundles,Rocky Patel LB1,PDR Cigars,Montecristo Espada Signature,Rocky Patel Rosado
Capricho Cubano,Xhaxhi Bobi,,,,,Acid Blue,601 Blue Label Maduro,Rocky Patel Nording,PDR Small Batch Habano,Montecristo Nicaragua,Rocky Patel Rosado Fumas
Del Campo,ZINO,,,,,Acid Gold,601 Cigars,Rocky Patel Number 6,PDR Small Batch Maduro,Montecristo Pepe Mendez Pilotico,Rocky Patel Royale
Oscar Valladares,Zino,,,,,Acid Opulence 3,601 Gold Label,Rocky Patel Olde World Reserve Corojo,Perdomo 20th Anniversary Connecticut,Montecristo Platinum,Rocky Patel San Andres
Herederos,Zino,,,,,Acid Purple,601 Green Label Oscuro,Rocky Patel Olde World Reserve Maduro,Perdomo 20th Anniversary Maduro,Montecristo White,Rocky Patel Sixty
National Brand,Zino,,,,,Acid Red,601 La Bomba,Rocky Patel Platinum Limited Edition,Perdomo 20th Anniversary Sun Grown,Montecristo White Vintage Connecticut,Rocky Patel Sumatra
Tabacos de Costa Rica,Zino Nicaragua,,,,,ADVENTURA,601 Red Label Habano,Rocky Patel Quarter Century,Perdomo Cigars,Muestra de Saka,Rocky Patel Sun Grown
Kuuts,,,,,,ADVentura King's Gold,ACID Cigarillo,Rocky Patel Royale,Perdomo Craft Series Pilsner,Muestra de Saka,Rocky Patel Sun Grown Fumas
Forma,,,,,,ADVentura The Conqueror,ACID Cigars,Rocky Patel Sixty,Perdomo Craft Series Stout,Muestra de Saka,Rocky Patel Sun Grown Maduro
Moore & Bode,,,,,,ADVentura The Explorer,ACID G-Fresh,Rocky Patel Small Batch,Perdomo Double Aged 12 Year Vintage Connecticut,Murcielago,Rocky Patel Tavicusa
South Beach,,,,,,ADVentura The Explorer,ACID Kuba Arte Water Tower,Rocky Patel Special Edition,Perdomo Double Aged 12 Year Vintage Maduro,Murcielago,Rocky Patel The Edge
Don Rene de Cuba,,,,,,ADVentura The Navigator,Adventura The Explorer,Rocky Patel Sun Grown,Perdomo Double Aged 12 Year Vintage Sun Grown,MUWAT,Rocky Patel The Edge Connecticut
Navigator,,,,,,ADVentura The Royal Return,Aganorsa Aniversario,Rocky Patel Sun Grown Bundles,Perdomo Estate Seleccion Vintage Connecticut,KFC (Kentucky Fire Cured),Rocky Patel The Edge Habano
NYC Cigar Co.,,,,,,AGANORSA,Aganorsa Connecticut,Rocky Patel Sun Grown Maduro,Perdomo Estate Seleccion Vintage Maduro,KFC (Kentucky Fire Cured) Swamp Thang,Rocky Patel Vintage 1990
Domingold,,,,,,AGING ROOM,Aganorsa Leaf Cigars,Rocky Patel Tavicusa,Perdomo Estate Seleccion Vintage Sun Grown,KFC (Kentucky Fire Cured) Sweets,Rocky Patel Vintage 1992
Bossner,,,,,,Aging Room Bin No. 2,Aganorsa Leaf Maduro,Rocky Patel Vintage 1990,Perdomo Fresco,MUWAT (My Uzi Weighs a Ton),Rocky Patel Vintage 2003 Cameroon
Chess,,,,,,Aging Room Core Connecticut,Aganorsa Rare Leaf Reserve,Rocky Patel Vintage 1990 Bundles,Perdomo Fresh-Rolled Cuban Wheels,My Father,Rocky Patel Vintage 2006
Cuban Rounds (by Ventura Cigar),,,,,,Aging Room Core Habano,Aganorsa Signature Selection,Rocky Patel Vintage 1992,Perdomo Habano Bourbon Barrel-Aged Connecticut,My Father,Rocky Patel Vintage Connecticut 1999
Island,,,,,,Aging Room Core Maduro,Aganorsa Supreme Leaf,Rocky Patel Vintage 1992 Bundles,Perdomo Habano Bourbon Barrel-Aged Maduro,My Father Connecticut,Rocky Patel Winter Collection
Porto Bello,,,,,,Aging Room Pura Cepa,AJ Fernandez Cigars,Rocky Patel Vintage 2003,Perdomo Habano Bourbon Barrel-Aged Sun Grown,My Father El Centurion H2KCT,Rocky Patel Xtreme
Dominican Big Leaguer,,,,,,Aging Room Quattro F55,AJ Fernandez Dias de Gloria,Rocky Patel Vintage 2003 Bundles,Perdomo Inmenso Seventy Maduro,My Father Garcia & Garcia,Rojas Bluebonnets
JD Cigars,,,,,,Aging Room Quattro F55,AJ Fernandez Enclave,Rocky Patel Vintage 2006,Perdomo Inmenso Seventy Sun Grown,My Father La Gran Oferta,Rojas Cigars LLC
Don Cicero,,,,,,Aging Room Quattro F55 Maduro,AJ Fernandez Last Call,Rocky Patel Vintage CT 1999,Perdomo Lot 23,My Father La Opulencia,Rojas Statement
Caribbean,,,,,,Aging Room Quattro Nicaragua,AJ Fernandez San Lotano Dominicano,Rocky Patel Vintage CT 1999 Bundles,Perdomo Lot 23 Connecticut,My Father La Promesa,Rojas Street Tacos
Infiesta,,,,,,AJ FERNANDEZ,AJ Fernandez San Lotano Requiem Connecticut,Rocky Patel White Label,Perdomo Lot 23 Maduro,My Father Le Bijou 1922,Rojas Unfinished Business
Don Juan (Costa Rica),,,,,,AJ Fernandez Nicaragua,AJ Fernandez San Lotano Requiem Habano,Rocky Patel Winter Collection 2020,Perdomo Mistakes,My Father Limited Edition,RoMa Craft
Dunbarton Tobacco & Trust,,,,,,ALAMEDA,AJ Fernandez San Lotano Requiem Maduro,RoMa Craft Baka,Perdomo Reserve 10th Anniv. Champagne,My Father The Judge,Romeo 505 Nicaragua by Romeo y Julieta
Dutch Masters,,,,,,ALCAZAR,AJ Fernandez San Lotano The Bull,RoMa Craft CroMagnon,Perdomo Reserve 10th Anniversary Box-Pressed Maduro,Nat Cicco,Romeo By Romeo Y Julieta
Perique,,,,,,ALEC BRADLEY,Alec Bradley American Classic Blend,RoMa Craft CroMagnon Aquitaine,Perdomo Reserve 10th Anniversary Box-Pressed Sun-Grown,Nat Cicco Casino Real,Romeo By Romeo y Julieta San Andres
Journeys,,,,,,Alec Bradley Accessories,Alec Bradley American Sun Grown,RoMa Craft Intemperance BA XXI,Perdomo Reserve Champagne Noir,Nat Cicco Elephant Ears,Romeo y Julieta
Baitoa,,,,,,Alec Bradley American Sun Grown,Alec Bradley Black Market,RoMa Craft Intemperance EC XVIII,Perdomo Reserve Champagne Sun Grown,Nat Cicco HHB Classic,Romeo y Julieta 1875
Don Juan (Dominican),,,,,,alec bradley black market ,Alec Bradley Black Market Esteli,RoMa Craft Intemperance Whiskey Rebellion 1794,Perdomo Slow-Aged Lot 826 Maduro,Nat Cicco HHB Gold,Romeo Y Julieta 1875 Nicaragua
Hoja de Mexicali,,,,,,Alec Bradley Black Market Esteli,Alec Bradley Black Market Filthy Hooligan,RoMa Craft Limited Edition,Perdomo Slow-Aged Lot 826 Natural,Nat Sherman,Romeo y Julieta Capulet
H. A. Ladrillos,,,,,,Alec Bradley Connecticut,Alec Bradley Blind Faith,RoMa Craft Neanderthal,Perdomo Slow-Aged Lot 826 Sun-Grown,Nat Sherman Epoca 2019 LE,Romeo Y Julieta Connecticut Nicaragua
Bundle King,,,,,,Alec Bradley Coyol,Alec Bradley Boncheros,Romeo Y Julieta 1875,Perla del Mar Corojo,Nat Sherman Metropolitan Host,Romeo Y Julieta Esteli
