IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Diesel,AJ FERNANDEZ,Avanti,Avanti,,,Aging Room Quattro F55 Maduro,AJ Fernandez Last Call,Al Capone,Aging Room Quattro Nicaragua,Casa Fernandez Aganorsa Corojo,Aging Room Quattro Nicaragua
Cuban Leaf,AJ Fernandez,Ave Maria,Ave Maria,,,Aging Room Quattro Nicaragua,AJ Fernandez San Lotano Dominicano,Aladino Cameroon,Aging Room Quattro Original,Casa Fernandez Aganorsa Habano,Aging Room Quattro Original
Honduran Factory Corojos (JR Cigars),AJ Fernandez,Ave Maria Cigar Alternatives,,,,AJ FERNANDEZ,AJ Fernandez San Lotano Requiem Connecticut,Aladino Connecticut,Agio Mehari's,Casa Fernandez Maduro,Aging Room Solera Corojo
Charles Parker,AJ Fernandez,Avo,Avo,,,AJ Fernandez Nicaragua,AJ Fernandez San Lotano Requiem Habano,Aladino Corojo,AJ Fernandez Cigars,Casa Fernandez Miami Aniversario,Aging Room Solera Maduro
Panama Caribbean,AJ Fernandez,BACCARAT,BACCARAT,,,ALAMEDA,AJ Fernandez San Lotano Requiem Maduro,Aladino Habano Vintage Selection LE,AJ Fernandez Bellas Artes,Casa Fernandez Miami Reserva Corojo,Aging Room Solera Shade
Caldwell Cigar Co.,AJ Fernandez,Back2Back,Back2Back,,,ALCAZAR,AJ Fernandez San Lotano The Bull,Aladino Maduro,AJ Fernandez Bellas Artes Maduro,New Cuba Connecticut,Aging Room Solera Sun Grown
Cigar Obsession,Al Capone Handmade,BACKWOODS,BACKWOODS,,,ALEC BRADLEY,Alec Bradley American Classic Blend,Alcazar,AJ Fernandez Enclave,New Cuba Corojo,Agio Meharis
La Aurora,Aladino,Bahia,Bahia,,,Alec Bradley Accessories,Alec Bradley American Sun Grown,Alec & Bradley Blind Faith,AJ Fernandez Enclave Broadleaf,New Cuba Maduro,AJ Fernandez
Juan Clemente,ALAMEDA,Balmoral,Balmoral,,,Alec Bradley American Sun Grown,Alec Bradley Black Market,Alec & Bradley Gatekeeper,AJ Fernandez La Gran Llave Connecticut,Aging Room,Al Capone
"Lost & Found (formerly B/C/S, Impromptu)",ALCAZAR,Baracoa Cigar Company,Baracoa,,,alec bradley black market ,Alec Bradley Black Market Esteli,Alec & Bradley Kintsugi,AJ Fernandez La Gran Llave Maduro,Aging Room Bin No. 1,Alec & Bradley Blind Faith
Belinda,Alcazar,Belinda,Belinda,,,Alec Bradley Black Market Esteli,Alec Bradley Black Market Filthy Hooligan,Alec Bradley,AJ Fernandez Last Call,Aging Room Bin No. 2,Alec & Bradley Gatekeeper
